8,5,162.140625
8,10,146.6845703125
8,15,145.34765625
8,20,146.3623046875
8,25,140.5751953125
8,30,146.7294921875
8,35,155.96875
8,40,156.37890625
8,45,157.5966796875
8,50,138.71875
16,5,225.21875
16,10,251.6103515625
16,15,250.001953125
16,20,238.6298828125
16,25,245.287109375
16,30,246.892578125
16,35,230.4296875
16,40,246.3203125
16,45,243.03125
16,50,232.666015625
24,5,279.6572265625
24,10,292.806640625
24,15,302.82421875
24,20,283.0478515625
24,25,301.2568359375
24,30,269.50390625
24,35,303.064453125
24,40,302.49609375
24,45,293.6318359375
24,50,300.330078125
32,5,361.6806640625
32,10,359.041015625
32,15,330.9140625
32,20,349.8828125
32,25,332.3525390625
32,30,356.80078125
32,35,363.1513671875
32,40,345.8681640625
32,45,344.9951171875
32,50,346.005859375
40,5,400.5458984375
40,10,408.2998046875
40,15,393.943359375
40,20,382.259765625
40,25,397.2958984375
40,30,388.728515625
40,35,390.068359375
40,40,383.501953125
40,45,390.0458984375
40,50,402.4013671875
48,5,425.56640625
48,10,443.0146484375
48,15,436.8447265625
48,20,424.7900390625
48,25,427.1796875
48,30,425.8125
48,35,437.4521484375
48,40,435.1630859375
48,45,434.7294921875
48,50,420.53125
56,5,477.6455078125
56,10,469.224609375
56,15,477.0927734375
56,20,472.5146484375
56,25,470.1513671875
56,30,457.2392578125
56,35,454.9912109375
56,40,464.576171875
56,45,453.9384765625
56,50,463.9306640625
64,5,495.416015625
64,10,484.2724609375
64,15,484.2568359375
64,20,475.1064453125
64,25,488.5771484375
64,30,487.9443359375
64,35,498.95703125
64,40,493.2685546875
64,45,497.4296875
64,50,487.34765625
